authorid,metric
1679232,0.0
1679243,0.13101949519825645
1679246,0.0
1679251,0.0
1679256,0.0
1679259,0.0
1679286,0.0
1679287,0.0
1679291,0.12731944745679014
1679293,0.0
1679295,0.09680478129296666
1679299,0.10711990379866328
1679309,0.0
1679334,0.0
1679341,0.15165733857139552
1679359,0.13860340187725306
1679362,0.0
1679367,0.11609750119138443
1679371,0.0
1679411,0.12377008444489997
1679417,0.16272325079854255
1679427,0.13511680993530542
1679428,0.0
1679433,0.0
1679449,0.1624218835828971
1679451,0.0
1679456,0.0
1679466,0.0
1679477,0.0
1679484,0.11398590660372461
1679489,0.0
1679498,0.0
1679504,0.0
1679506,0.0
1679512,0.0
1679516,0.16528401054144118
1679523,0.12234677488192436
1679526,0.0
1679533,0.12246276863063706
1679536,0.16526889916265808
1679538,0.12380898484998681
1679539,0.0
1679541,0.0
1679542,0.0
1679557,0.1659580598495587
1679559,0.170066000595615
1679560,0.18453398300394286
1679561,0.0
1679570,0.0
1679590,0.0
1679601,0.12246662192408378
1679610,0.0
1679611,0.13743237856708826
1679614,0.0
1679615,0.14120768929748087
1679617,0.0
1679622,0.0
1679627,0.1486496792637394
1679630,0.0
1679638,0.0
1679646,0.10521826952348129
1679652,0.0
1679654,0.0
1679665,0.0
1679666,0.1194407203690886
1679672,0.1770670848712793
1679681,0.13096363781561765
1679686,0.12299528518726917
1679704,0.20212573567169656
1679726,0.0
1679732,0.0
1679733,0.0
1679736,0.0
1679739,0.0
1679745,0.09980341468584653
1679749,0.12847668016700872
1679753,0.15436095221418303
1679754,0.1256832647874122
1679757,0.12622666068996036
1679765,0.0
1679769,0.0
1679784,0.09473002815499357
1679785,0.0
1679789,0.14873835633551669
1679793,0.11224737015861563
1679795,0.12430090222769269
1679801,0.0
1679809,0.19596834916748274
1679817,0.1388165940123368
1679819,0.0
1679825,0.1362059591334679
1679829,0.0
1679836,0.15872149743392217
1679853,0.0
1679867,0.09954996610293976
1679873,0.0
1679876,0.0
1679880,0.08266799652583401
1679886,0.0
1679887,0.0
1679888,0.15716807665527363
1679890,0.0
1679895,0.0
1679896,0.0
1679902,0.13411998993685806
1679913,0.14577944114873848
1679923,0.09182319119295815
1679929,0.0
1679941,0.0
1679943,0.0
1679944,0.10472583485344791
1679945,0.0
1679963,0.0
1679964,0.0
1679976,0.12368204967489804
1679977,0.13129028898181538
1679981,0.15505137937399838
1679982,0.0
1679985,0.09466367274568455
1679991,0.103453866063003
1680014,0.02245586658646548
1680022,0.0
1680023,0.0
1680024,0.11947174193351631
1680025,0.0
1680028,0.1159935468625719
1680029,0.0
1680030,0.0
1680032,0.13928217703718115
1680034,0.11475799508656112
1680039,0.08041935795509847
1680042,0.0
1680049,0.0
1680055,0.19663038865231508
1680059,0.13404898870298454
1680066,0.0
1680067,0.0
1680071,0.0
1680073,0.0
1680075,0.0
1680083,0.0
1680084,0.1978054210010727
1680091,0.0
1680099,0.10604345739226106
1680103,0.09668469748061206
1680108,0.0
1680122,0.0
1680125,0.1583259707342824
1680131,0.0
1680133,0.15062049247828602
1680144,0.0
1680160,0.12406929564073177
1680162,0.0
1680165,0.1496969280935455
1680169,0.18674831323185137
1680174,0.06901361161305071
1680185,0.0864363348656062
1680188,0.10138412255639055
1680197,0.0
1680220,0.1473814502390176
1680221,0.0
1680223,0.14081519098342538
1680225,0.12623784459466048
1680236,0.05459126462968977
1680243,0.2075563001014592
1680262,0.0
1680267,0.0
1680268,0.0
1680270,0.0
1680288,0.0
1680289,0.11732084898424573
1680291,0.1607713773254098
1680292,0.10637890183120105
1680299,0.0
1680306,0.0
1680312,0.0
1680313,0.12688798620781416
1680315,0.0
1680319,0.1826372943308036
1680321,0.0
1680325,0.0
1680327,0.07242844234850987
1680346,0.16463475792926532
1680348,0.0
1680354,0.0
1680363,0.0
1680366,0.0
1680368,0.0
1680369,0.11255819354710642
1680372,0.16115508345961088
1680379,0.0
1680381,0.09286512370203373
1680386,0.0
1680392,0.0
1680406,0.10209653287975284
1680408,0.0
1680410,0.0
1680414,0.1124112047689716
1680416,0.11704863839464717
1680417,0.14085109140241692
1680423,0.0
1680430,0.0
1680438,0.0
1680445,0.0
1680455,0.0
1680457,0.0
1680459,0.0
1680466,0.0
1680473,0.16991960001045495
1680474,0.0
1680479,0.09546486419583722
1680484,0.1566539343892448
1680494,0.0
1680502,0.1982823352135512
1680504,0.15158134526627132
1680506,0.12926475648805058
1680509,0.0
1680510,0.12469506137452502
1680525,0.15841253086028378
1680531,0.16478743159794254
1680552,0.06371933433012111
1680562,0.08688585451555242
1680567,0.0
1680574,0.0
1680576,0.0
1680577,0.0
1680583,0.0
1680593,0.0
1680595,0.0
1680596,0.08310944426448064
1680607,0.14192944747006458
1680609,0.1714205087048981
1680617,0.10565132513864212
1680620,0.07353780446933433
1680628,0.18321166250367804
1680643,0.0
1680657,0.0
1680658,0.0
1680661,0.10681299277127218
1680664,0.1356050528336018
1680674,0.0
1680676,0.1500340491779213
1680680,0.0
1680681,0.0
1680683,0.1351288608824784
1680700,0.08729899723756152
1680706,0.1139737002387814
1680708,0.0715507796298811
1680709,0.1718589394608112
1680720,0.0
1680726,0.11305175335661366
1680727,0.0
1680758,0.0
1680761,0.0
1680763,0.0
1680769,0.18510712657695794
1680770,0.11552294098722844
1680772,0.1382758149495675
1680777,0.0
1680785,0.1781300756988301
1680788,0.0
1680804,0.1229043782955527
1680808,0.13890079307553926
1680812,0.0
1680816,0.0
1680821,0.0
1680828,0.17242398003107928
1680836,0.1443270192293687
1680837,0.0
1680847,0.0
1680859,0.0
1680861,0.0
1680862,0.1379700591040617
1680870,0.15741297162911297
1680874,0.10071653841782147
1680878,0.0
1680884,0.0
1680890,0.13774480734833794
1680900,0.2244225942517275
1680901,0.0
1680903,0.2265483666535908
1680933,0.09481964744633656
1680936,0.0
1680938,0.1352688725329468
1680943,0.0
1680944,0.09300362239336113
1680960,0.0
1680968,0.0
1680971,0.0
1680976,0.0
1680978,0.15784707426684716
1680997,0.0
1681002,0.0
1681003,0.0
1681005,0.0
1681006,0.14058439501080586
1681016,0.0
1681018,0.0
1681026,0.15882171378572452
1681028,0.0
1681029,0.0
1681054,0.10624704990932421
1681055,0.0
1681065,0.11612813750169193
1681072,0.10663895210454383
1681081,0.1433282499989337
1681089,0.142552589095227
1681095,0.0
1681098,0.0
1681109,0.1172103439627461
1681117,0.19360638831893628
1681130,0.0
1681134,0.11630583583050956
1681157,0.14820000210738393
1681161,0.12684890263082807
1681169,0.12823280752079436
1681180,0.0
1681192,0.0
1681197,0.0
1681209,0.10286868025048435
1681216,0.0718286368306903
1681220,0.2102456426954038
1681226,0.12128892044087353
1681230,0.0
1681232,0.20881980479893913
1681236,0.14951934041242798
1681248,0.13106829519714633
1681254,0.1917527142472285
1681262,0.0
1681266,0.16181702534575676
1681268,0.24995820187731965
1681270,0.10920694823181099
1681278,0.0
1681289,0.0
1681296,0.0
1681304,0.0
1681307,0.08734006996308896
1681317,0.07484829608574595
1681323,0.1365498992615523
1681333,0.0
1681352,0.0
1681353,0.0898989179376829
1681359,0.0
1681372,0.0
1681374,0.18573382839582864
1681380,0.15545344577254538
1681387,0.0
1681402,0.13142566094457842
1681409,0.0
1681411,0.13160444974759017
1681416,0.0
1681418,0.0
1681427,0.14873172545337188
1681434,0.0
1681437,0.0
1681443,0.0
1681445,0.0
1681457,0.148375831034049
1681465,0.0
1681471,0.17856837873028797
1681478,0.1278517421207832
1681490,0.0
1681491,0.14139386019372235
1681496,0.0
1681498,0.14547665358323064
1681502,0.14408967585171456
1681504,0.0
1681522,0.12677754010111056
1681527,0.0
1681535,0.18449859593188767
1681537,0.0
1681543,0.1486207190369821
1681551,0.0
1681553,0.0
1681554,0.14749373080285663
1681559,0.11219375304557433
1681568,0.0
1681573,0.0
1681579,0.0
1681589,0.07306125601102467
1681595,0.0
1681597,0.0
1681608,0.0
1681624,0.14065946346576608
1681629,0.15647115341263257
1681644,0.1008839591307995
1681648,0.0
1681657,0.18332878414307646
1681659,0.10452251896114559
1681661,0.0
1681662,0.0
1681669,0.15974861824464434
1681685,0.0
1681687,0.0
1681705,0.1161523674138879
1681715,0.0
1681734,0.0
1681744,0.0
1681756,0.0
1681759,0.16735605683415122
1681760,0.0
1681761,0.09191738936453582
1681768,0.0
1681784,0.17394293037592823
1681795,0.0
1681799,0.11369730060213201
1681810,0.0
1681815,0.0
1681816,0.11740053569707809
1681830,0.15283046026078417
1681831,0.0
1681832,0.0
1681836,0.13278040563556529
1681848,0.0
1681849,0.0
1681850,0.2565943232278334
1681867,0.0
1681876,0.08493011863934297
1681881,0.0
1681882,0.0
1681895,0.14252080123398136
1681916,0.11634927705245353
1681919,0.0
1681921,0.0
1681924,0.0
1681925,0.15760670262574245
1681942,0.0
1681946,0.0
1681947,0.10755002340486369
